cycle_no,start_time,end_time,flow_start,after_flow_start,shutin_duration,plunger_rise_duration,afterflow_duration,flow_duration,arrival,velocity,gas_volume,reward_score,uplift_pressure,shutin_effectiveness,liquid_load,uptime_ratio,flow_rate,lp_after_shutin,gas_per_min_of_afterflow,flowrate_drop_ratio_in_afterflow,flow_at_cycle_end,drain_ratio,gas_per_shutin_effectivenessmin_of_afterflow,reward
1,2025-07-29 12:12:29,2025-07-30 21:43:02,2025-07-29 12:13:01+00:00,2025-07-29T12:38:51+00:00,0.53,25.83,1984.18,2010.02,1.0,381.33,1110.6,0.147,177.39,73.0,177.29,1.0,796.542,169.815,0.56,0.644,656.69,3.77,,0.344
2,2025-07-30 21:43:18,2025-08-02 11:00:42,2025-07-30 21:43:29+00:00,2025-07-30T22:07:10+00:00,0.18,23.68,3653.53,3677.22,1.0,399.02,2012.25,0.28,170.54,191.222,160.53,1.0,787.345,170.03,0.551,0.373,471.36,-3.87,,0.462
3,2025-08-02 11:01:12,2025-08-02 21:33:35,2025-08-02 11:02:14+00:00,2025-08-02T11:25:54+00:00,1.03,23.67,607.68,631.35,1.0,413.1,341.45,0.033,196.34,21.476,196.34,0.998,781.084,157.62,0.562,0.686,481.18,2.08,,0.244
4,2025-08-02 21:34:11,2025-08-03 16:36:51,2025-08-02 21:35:05+00:00,2025-08-02T21:57:37+00:00,0.9,22.53,1119.23,1141.77,1.0,412.56,627.04,0.075,185.23,52.256,183.54,0.999,791.621,157.31,0.56,0.753,500.39,-1.88,,0.282
5,2025-08-03 16:37:02,2025-08-04 01:04:30,2025-08-03 16:38:05+00:00,2025-08-03T17:00:37+00:00,1.05,22.53,483.88,506.42,1.0,360.02,274.93,0.425,155.57,27.105,155.57,0.998,778.854,159.09,0.568,0.734,538.78,0.2,,0.236
6,2025-08-03 16:37:02,2025-08-04 01:04:52,2025-08-03 16:38:05+00:00,2025-08-03T17:00:37+00:00,1.05,22.53,484.25,506.78,1.0,360.02,274.79,0.425,155.57,27.105,155.57,0.998,777.573,159.09,0.567,0.593,824.16,0.2,,0.236
7,2025-08-03 16:37:02,2025-08-04 01:04:58,2025-08-03 16:38:05+00:00,2025-08-03T17:00:37+00:00,1.05,22.53,484.35,506.88,1.0,360.02,274.79,0.425,155.57,27.105,155.57,0.998,777.573,159.09,0.567,0.593,824.16,0.2,,0.236
8,2025-08-03 16:37:02,2025-08-04 01:04:26,2025-08-03 16:38:05+00:00,2025-08-03T17:00:37+00:00,1.05,22.53,483.82,506.35,1.0,360.02,274.89,0.425,155.57,27.105,155.57,0.998,778.854,159.09,0.568,0.734,538.78,0.2,,0.236
9,2025-08-03 16:37:02,2025-08-04 01:04:38,2025-08-03 16:38:05+00:00,2025-08-03T17:00:37+00:00,1.05,22.53,484.02,506.55,1.0,360.02,274.79,0.425,155.57,27.105,155.57,0.998,777.573,159.09,0.568,0.734,538.78,0.2,,0.236
10,2025-08-04 01:04:32,2025-08-06 23:17:02,2025-08-04 01:04:58+00:00,2025-08-04T01:29:48+00:00,0.43,24.83,4187.23,4212.07,1.0,401.09,2286.7,0.606,189.2,53.331,150.01,1.0,780.7,159.115,0.546,0.72,586.07,1.69,,0.497
